code	display
2052608	Prograf Granule Product
2052609	Prograf 0.2 MG Granules for Oral Suspension
2052609	tacrolimus 0.2 MG Granules for Oral Suspension [Prograf]
2052703	tacrolimus 1 MG Granules for Oral Suspension
2052704	Prograf 1 MG Granules for Oral Suspension
2052704	tacrolimus 1 MG Granules for Oral Suspension [Prograf]
235991	anhydrous tacrolimus
261134	Prograf 0.5 MG Oral Capsule
261134	tacrolimus 0.5 MG Oral Capsule [Prograf]
2665161	BX Rating tacrolimus 0.5 MG Oral Capsule
2665161	tacrolimus 0.5 MG Oral Capsule, BX Rating
2665162	BX Rating tacrolimus 1 MG Oral Capsule
2665162	tacrolimus 1 MG Oral Capsule, BX Rating
2665163	BX Rating tacrolimus 5 MG Oral Capsule
2665163	tacrolimus 5 MG Oral Capsule, BX Rating
284520	tacrolimus 0.001 MG/MG Topical Ointment [Protopic]
284521	tacrolimus 0.0003 MG/MG Topical Ointment [Protopic]
313189	tacrolimus (as tacrolimus monohydrate) 0.0003 MG/MG Topical Ointment
313189	tacrolimus 0.0003 MG/MG Topical Ointment
313189	tacrolimus 0.03 % Topical Ointment
313190	tacrolimus 0.5 MG (as anhydrous tacrolimus) Oral Capsule
313190	tacrolimus 0.5 MG Oral Capsule
314266	tacrolimus (as tacrolimus monohydrate) 0.001 MG/MG Topical Ointment
314266	tacrolimus 0.001 MG/MG Topical Ointment
314266	tacrolimus 0.1 % Topical Ointment
316758	tacrolimus 1 MG
316759	tacrolimus 5 MG
317510	tacrolimus 5 MG/ML
330404	tacrolimus 0.5 MG
331549	tacrolimus 0.001 MG/MG
331550	tacrolimus 0.0003 MG/MG
366273	tacrolimus Oral Capsule [Prograf]
367339	tacrolimus Topical Ointment [Protopic]
374015	tacrolimus Oral Capsule
379082	tacrolimus Topical Ointment
42316	tacrolimus
484288	tacrolimus monohydrate
564557	tacrolimus 1 MG [Prograf]
564558	tacrolimus 5 MG [Prograf]
564559	tacrolimus 5 MG/ML [Prograf]
574378	tacrolimus 0.5 MG [Prograf]
574948	tacrolimus 0.001 MG/MG [Protopic]
574949	tacrolimus 0.0003 MG/MG [Protopic]
